activity_date,course_item_type_category,course_item_type_desc,count
2017-01-02 03:00:00,lecture,lecture,5465
2017-01-02 03:00:00,supplement,supplement,559
2017-01-02 03:00:00,notebook,notebook,2572
2017-01-02 03:00:00,quiz,exam,292
2017-01-02 03:00:00,programming,graded programming,1460
2017-01-02 03:00:00,,others,10
2017-01-03 03:00:00,supplement,supplement,530
2017-01-03 03:00:00,lecture,lecture,6103
2017-01-03 03:00:00,notebook,notebook,2860
2017-01-03 03:00:00,quiz,exam,256
2017-01-03 03:00:00,programming,graded programming,1520
2017-01-03 03:00:00,,others,12
2017-01-04 03:00:00,lecture,lecture,5518
2017-01-04 03:00:00,notebook,notebook,3148
2017-01-04 03:00:00,quiz,exam,352
2017-01-04 03:00:00,supplement,supplement,491
2017-01-04 03:00:00,programming,graded programming,1476
2017-01-04 03:00:00,,others,18
2017-01-05 03:00:00,lecture,lecture,4742
2017-01-05 03:00:00,quiz,exam,316
2017-01-05 03:00:00,supplement,supplement,337
2017-01-05 03:00:00,programming,graded programming,968
2017-01-05 03:00:00,notebook,notebook,2780
2017-01-05 03:00:00,,others,11
2017-01-06 03:00:00,notebook,notebook,2532
2017-01-06 03:00:00,programming,graded programming,976
2017-01-06 03:00:00,lecture,lecture,3611
2017-01-06 03:00:00,,others,12
2017-01-06 03:00:00,supplement,supplement,268
2017-01-06 03:00:00,quiz,exam,292
2017-01-07 03:00:00,lecture,lecture,3758
2017-01-07 03:00:00,notebook,notebook,2788
2017-01-07 03:00:00,supplement,supplement,239
2017-01-07 03:00:00,quiz,exam,320
2017-01-07 03:00:00,,others,32
2017-01-07 03:00:00,programming,graded programming,1280
2017-01-08 03:00:00,notebook,notebook,2792
2017-01-08 03:00:00,lecture,lecture,3548
2017-01-08 03:00:00,quiz,exam,268
2017-01-08 03:00:00,supplement,supplement,215
2017-01-08 03:00:00,programming,graded programming,1548
2017-01-08 03:00:00,,others,12
2017-01-09 03:00:00,programming,graded programming,1244
2017-01-09 03:00:00,supplement,supplement,255
2017-01-09 03:00:00,notebook,notebook,2692
2017-01-09 03:00:00,quiz,exam,256
2017-01-09 03:00:00,lecture,lecture,3828
2017-01-09 03:00:00,,others,7
2017-01-10 03:00:00,,others,13
2017-01-10 03:00:00,supplement,supplement,373
2017-01-10 03:00:00,lecture,lecture,4143
2017-01-10 03:00:00,quiz,exam,364
2017-01-10 03:00:00,notebook,notebook,2480
2017-01-10 03:00:00,programming,graded programming,1736
2017-01-11 03:00:00,quiz,exam,288
2017-01-11 03:00:00,lecture,lecture,3214
2017-01-11 03:00:00,,others,6
2017-01-11 03:00:00,supplement,supplement,204
2017-01-11 03:00:00,notebook,notebook,2564
2017-01-11 03:00:00,programming,graded programming,1000
2017-01-12 03:00:00,supplement,supplement,174
2017-01-12 03:00:00,notebook,notebook,2544
