State,time,population
MICHIGAN,7/11/1976,47
MICHIGAN,7/18/1976,38
MICHIGAN,7/25/1976,32
MICHIGAN,8/1/1976,32
MICHIGAN,8/8/1976,41
MICHIGAN,8/15/1976,24
MICHIGAN,8/22/1976,29
MICHIGAN,8/29/1976,38
MICHIGAN,9/5/1976,16
MICHIGAN,9/12/1976,37
MICHIGAN,9/19/1976,32
MICHIGAN,9/26/1976,41
MICHIGAN,10/3/1976,43
MICHIGAN,10/10/1976,28
MICHIGAN,10/17/1976,29
MICHIGAN,10/24/1976,49
MICHIGAN,10/31/1976,26
MICHIGAN,11/7/1976,12
MICHIGAN,11/14/1976,44
MICHIGAN,11/21/1976,24
MICHIGAN,11/28/1976,29
MICHIGAN,12/5/1976,50
MICHIGAN,12/12/1976,46
MICHIGAN,12/19/1976,18
MICHIGAN,12/26/1976,32
MICHIGAN,1/9/1977,50
MICHIGAN,1/16/1977,26
MICHIGAN,1/23/1977,38
MICHIGAN,1/30/1977,40
MICHIGAN,2/6/1977,38
MICHIGAN,2/13/1977,40
MICHIGAN,2/20/1977,49
MICHIGAN,2/27/1977,31
MICHIGAN,3/6/1977,33
MICHIGAN,3/13/1977,57
MICHIGAN,3/20/1977,42
MICHIGAN,3/27/1977,18
MICHIGAN,4/3/1977,46
MICHIGAN,4/10/1977,38
MICHIGAN,4/17/1977,27
MICHIGAN,4/24/1977,31
MICHIGAN,5/1/1977,36
MICHIGAN,5/8/1977,28
MICHIGAN,5/15/1977,24
MICHIGAN,5/22/1977,30
MICHIGAN,5/29/1977,21
MICHIGAN,6/5/1977,25
MICHIGAN,6/12/1977,42
MICHIGAN,6/19/1977,37
MICHIGAN,6/26/1977,27
MICHIGAN,7/3/1977,21
MICHIGAN,7/10/1977,34
MICHIGAN,7/17/1977,20
MICHIGAN,7/24/1977,5
MICHIGAN,7/31/1977,25
MICHIGAN,8/7/1977,20
MICHIGAN,8/14/1977,37
MICHIGAN,8/21/1977,27
MICHIGAN,8/28/1977,28
MICHIGAN,9/4/1977,19
MICHIGAN,9/11/1977,36
MICHIGAN,9/18/1977,27
MICHIGAN,9/25/1977,21
MICHIGAN,10/2/1977,39
MICHIGAN,10/9/1977,14
MICHIGAN,10/16/1977,37
MICHIGAN,10/23/1977,28
MICHIGAN,10/30/1977,9
MICHIGAN,11/6/1977,23
MICHIGAN,11/13/1977,28
MICHIGAN,11/20/1977,29
MICHIGAN,11/27/1977,27
MICHIGAN,12/4/1977,32
MICHIGAN,12/11/1977,17
MICHIGAN,12/18/1977,36
MICHIGAN,12/25/1977,25
MICHIGAN,1/1/1978,11
MICHIGAN,1/8/1978,19
MICHIGAN,1/15/1978,21
MICHIGAN,1/22/1978,26
MICHIGAN,1/29/1978,22
MICHIGAN,2/5/1978,34
MICHIGAN,2/12/1978,24
MICHIGAN,2/19/1978,17
MICHIGAN,2/26/1978,21
MICHIGAN,3/5/1978,32
MICHIGAN,3/12/1978,12
MICHIGAN,3/19/1978,28
MICHIGAN,3/26/1978,13
MICHIGAN,4/2/1978,23
MICHIGAN,4/9/1978,44
MICHIGAN,4/16/1978,12
MICHIGAN,4/23/1978,24
MICHIGAN,4/30/1978,18
MICHIGAN,5/7/1978,30
MICHIGAN,5/14/1978,39
MICHIGAN,5/21/1978,27
MICHIGAN,5/28/1978,13
MICHIGAN,6/4/1978,19
MICHIGAN,6/11/1978,11
MICHIGAN,6/18/1978,24
MICHIGAN,6/25/1978,23
MICHIGAN,7/9/1978,15
MICHIGAN,7/16/1978,15
MICHIGAN,7/23/1978,21
MICHIGAN,7/30/1978,32
MICHIGAN,8/6/1978,23
MICHIGAN,8/13/1978,16
MICHIGAN,8/20/1978,29
